pathname	phenotype	sep	chr_col	pos_col	chrpos_col	rsid_col	ea_col	nea_col	beta_col	se_col	z_col	n_snps	missing_snps	sample_size
/rds/general/user/lz5515/home/WORK/t2d_cancer/gwas_ss/METAANALYSIS_DIAGRAM_SE1.txt	t2d				chrpos		Allele1	Allele2	Effect	StdErr			303	159208
/rds/general/user/lz5515/home/WORK/t2d_cancer/bmi.giant-ukbb.meta-analysis.combined.23May2018.txt	BMI	space	CHR	POS			Tested_Allele	Other_Allele	BETA	SE			1432	
/rds/general/user/lz5515/home/WORK/t2d_cancer/whr.giant-ukbb.meta-analysis.combined.23May2018.txt	WHR	space	CHR	POS			Tested_Allele	Other_Allele	BETA	SE		2559739	1439	
/rds/general/user/lz5515/home/WORK/t2d_cancer/whradjbmi.giant-ukbb.meta-analysis.combined.23May2018.txt	WHRadjBMI	space	CHR	POS			Tested_Allele	Other_Allele	BETA	SE			1426	
/rds/general/user/lz5515/home/WORK/t2d_cancer/gwas_ss/breast_cancer/bcac_meta.txt	breast_cancer	space	chr	position_b37			a1	a0	bcac_onco_icogs_gwas_beta	bcac_onco_icogs_gwas_se		11792543	127	
/rds/general/user/lz5515/home/WORK/t2d_cancer/gwas_ss/prostate_cancer/meta_v3_onco_euro_overall_ChrAll_1_release.txt	prostate_cancer		Chr	position			Allele1	Allele2	Effect	StdErr		2745393	94	
/rds/general/user/lz5515/home/WORK/t2d_cancer/gwas_ss/FG/metal.FGluadjBMI.InvNorm.EA.txt	FGluadjBMI		chr	position			ALLELE1	ALLELE2	Effect	StdErr			73	
/rds/general/user/lz5515/home/WORK/t2d_cancer/gwas_ss/FI/metal.FInsadjBMI.InvNorm.EA.txt	FInsadjBMI		chr	position			ALLELE1	ALLELE2	Effect	StdErr			74	
/rdsgpfs/general/user/lz5515/home/WORK/ssimp_web/metabolites_1000g/Summary_statistics_MAGNETIC_ApoB.txt	ApoB	space				ID	EA	NEA	beta	se				
/rdsgpfs/general/user/lz5515/home/WORK/ssimp_web/metabolites_1000g/Summary_statistics_MAGNETIC_Cit.txt	Cit	space				ID	EA	NEA	beta	se				
/rds/general/user/lz5515/home/WORK/t2d_cancer/gwas_ss/HOMA_IR_05.txt	HOMA_IR		chr	pos			A1	A2			z_imp			
/rds/general/user/lz5515/home/WORK/t2d_cancer/gwas_ss/HOMA_B_05.txt	HOMA_B		chr	pos			A1	A2			z_imp			
/rds/general/user/lz5515/home/WORK/t2d_cancer/gwas_ss/Glu2Hr/metal.2hrGluadjBMI.InvNorm.EA.txt	2hrGluadjBMI		chr	position			ALLELE1	ALLELE2	Effect	StdErr			76	
/rds/general/user/lz5515/home/WORK/t2d_cancer/gwas_ss/HbA1C/metal.HbA1c.InvNorm.EA.txt	HbA1c		chr	position			ALLELE1	ALLELE2	Effect	StdErr			75	
/rds/general/user/lz5515/home/WORK/t2d_cancer/gwas_ss/Blood pressure/UKB_BP/UKB_SBP_summary.txt	SBP	space				rsid	allele_effect	allele_ref	beta	SE		9802784	338	
/rds/general/user/lz5515/home/WORK/t2d_cancer/gwas_ss/Blood pressure/UKB_BP/UKB_DBP_summary.txt	DBP	space				rsid	allele_effect	allele_ref	beta	SE		9802782	338	
/rds/general/user/lz5515/home/WORK/t2d_cancer/gwas_ss/Blood pressure/UKB_BP/UKB_PP_summary.txt	PP	space				rsid	allele_effect	allele_ref	beta	SE		9802784	338	
/rds/general/user/lz5515/home/WORK/t2d_cancer/gwas_ss/CAD/Nikpey/nikpay_cad.txt	CAD	space	chr	bp_hg19			effect_allele	noneffect_allele	beta	se_dgc		9455779	314	
/rds/general/user/lz5515/home/WORK/ssimp_web/HDL_processed_alltagsnps/GWAS_HDL_imp_qual07.txt	HDL		chr	pos			EFFECT_ALLELE	OTHER_ALLELE			z_imp			
/rds/general/user/lz5515/home/WORK/ssimp_web/LDL_processed/GWAS_LDL_imp_qual07.txt	LDL		chr	pos			EFFECT_ALLELE	OTHER_ALLELE			z_imp			
/rds/general/user/lz5515/home/WORK/ssimp_web/TC_processed/GWAS_TC_imp_qual07.txt	TC		chr	pos			EFFECT_ALLELE	OTHER_ALLELE			z_imp			
/rds/general/user/lz5515/home/WORK/ssimp_web/TG_processed/GWAS_TG_imp_qual07.txt	TG		chr	pos			EFFECT_ALLELE	OTHER_ALLELE			z_imp			
/rds/general/user/lz5515/home/WORK/ssimp_web/proinsulin_processed/GWAS_proinsulin_imp_qual07.txt	proinsulin		chr	pos			EFFECT_ALLELE	OTHER_ALLELE			z_imp			
/rds/general/user/lz5515/home/WORK/ssimp_web/CIR_ISI_processed/GWAS_CIR_ISI_imp_qual07.txt	CIR_ISI		chr	pos			EFFECT_ALLELE	OTHER_ALLELE			z_imp		1499	
/rds/general/user/lz5515/home/WORK/ssimp_web/CIR_processed/GWAS_CIR_imp_qual07.txt	CIR		chr	pos			EFFECT_ALLELE	OTHER_ALLELE			z_imp		1499	
/rds/general/user/lz5515/home/WORK/ssimp_web/Leptin_processed/GWAS_Leptin_imp_qual07.txt	leptin		chr	pos			EFFECT_ALLELE	OTHER_ALLELE			z_imp		1482	
/rds/general/user/lz5515/home/WORK/ssimp_web/Leptin_BMI_processed/GWAS_Leptin_BMI_imp_qual07.txt	leptinadjBMI		chr	pos			EFFECT_ALLELE	OTHER_ALLELE			z_imp		1482	
/rds/general/user/lz5515/home/WORK/ssimp_web/PAI_processed/GWAS_PAI_imp_qual07.txt	PAI_1		chr	pos			EFFECT_ALLELE	OTHER_ALLELE			z_imp		1400	
/rdsgpfs/general/user/lz5515/home/WORK/ssimp_web/metabolites_1000g/meta_AcAce.out	AcAce					rs_number	reference_allele	other_allele			z			
/rdsgpfs/general/user/lz5515/home/WORK/ssimp_web/metabolites_1000g/meta_Ace.out	Ace					rs_number	reference_allele	other_allele			z			
/rdsgpfs/general/user/lz5515/home/WORK/ssimp_web/metabolites_1000g/meta_Ala.out	Ala					rs_number	reference_allele	other_allele			z			
/rdsgpfs/general/user/lz5515/home/WORK/ssimp_web/metabolites_1000g/meta_Alb.out	Alb					rs_number	reference_allele	other_allele			z			
/rdsgpfs/general/user/lz5515/home/WORK/ssimp_web/metabolites_1000g/meta_ApoA1.out	ApoA1					rs_number	reference_allele	other_allele			z			
/rdsgpfs/general/user/lz5515/home/WORK/ssimp_web/metabolites_1000g/meta_bOHBut.out	bOHBut					rs_number	reference_allele	other_allele			z			
/rdsgpfs/general/user/lz5515/home/WORK/ssimp_web/metabolites_1000g/meta_CH2.DB.ratio.out	CH2.DB.ratio					rs_number	reference_allele	other_allele			z			
/rdsgpfs/general/user/lz5515/home/WORK/ssimp_web/metabolites_1000g/meta_CH2.in.FA.out	CH2.in.FA					rs_number	reference_allele	other_allele			z			
/rdsgpfs/general/user/lz5515/home/WORK/ssimp_web/metabolites_1000g/meta_Crea.out	Crea					rs_number	reference_allele	other_allele			z			
/rdsgpfs/general/user/lz5515/home/WORK/ssimp_web/metabolites_1000g/meta_DB.in.FA.out	DB.in.FA					rs_number	reference_allele	other_allele			z			
/rdsgpfs/general/user/lz5515/home/WORK/ssimp_web/metabolites_1000g/meta_DHA.out	DHA					rs_number	reference_allele	other_allele			z			
/rdsgpfs/general/user/lz5515/home/WORK/ssimp_web/metabolites_1000g/meta_Est.C.out	Est.C					rs_number	reference_allele	other_allele			z			
/rdsgpfs/general/user/lz5515/home/WORK/ssimp_web/metabolites_1000g/meta_FALen.out	FALen					rs_number	reference_allele	other_allele			z			
/rdsgpfs/general/user/lz5515/home/WORK/ssimp_web/metabolites_1000g/meta_FAw3.out	FAw3					rs_number	reference_allele	other_allele			z			
/rdsgpfs/general/user/lz5515/home/WORK/ssimp_web/metabolites_1000g/meta_FAw6.out	FAw6					rs_number	reference_allele	other_allele			z			
/rdsgpfs/general/user/lz5515/home/WORK/ssimp_web/metabolites_1000g/meta_FAw79S.out	FAw79S					rs_number	reference_allele	other_allele			z			
/rdsgpfs/general/user/lz5515/home/WORK/ssimp_web/metabolites_1000g/meta_Free.C.out	Free.C					rs_number	reference_allele	other_allele			z			
/rdsgpfs/general/user/lz5515/home/WORK/ssimp_web/metabolites_1000g/meta_Glc.out	Glc					rs_number	reference_allele	other_allele			z			
/rdsgpfs/general/user/lz5515/home/WORK/ssimp_web/metabolites_1000g/meta_Gln.out	Gln					rs_number	reference_allele	other_allele			z			
/rdsgpfs/general/user/lz5515/home/WORK/ssimp_web/metabolites_1000g/meta_Glol.out	Glol					rs_number	reference_allele	other_allele			z			
/rdsgpfs/general/user/lz5515/home/WORK/ssimp_web/metabolites_1000g/meta_Gly.out	Gly					rs_number	reference_allele	other_allele			z			
/rdsgpfs/general/user/lz5515/home/WORK/ssimp_web/metabolites_1000g/meta_Gp.out	Gp					rs_number	reference_allele	other_allele			z			
/rdsgpfs/general/user/lz5515/home/WORK/ssimp_web/metabolites_1000g/meta_HDL.C.out	HDL.C					rs_number	reference_allele	other_allele			z			
/rdsgpfs/general/user/lz5515/home/WORK/ssimp_web/metabolites_1000g/meta_HDL.D.out	HDL.D					rs_number	reference_allele	other_allele			z			
/rdsgpfs/general/user/lz5515/home/WORK/ssimp_web/metabolites_1000g/meta_His.out	His					rs_number	reference_allele	other_allele			z			
/rdsgpfs/general/user/lz5515/home/WORK/ssimp_web/metabolites_1000g/meta_IDL.C.out	IDL.C					rs_number	reference_allele	other_allele			z			
/rdsgpfs/general/user/lz5515/home/WORK/ssimp_web/metabolites_1000g/meta_IDL.L.out	IDL.L					rs_number	reference_allele	other_allele			z			
/rdsgpfs/general/user/lz5515/home/WORK/ssimp_web/metabolites_1000g/meta_IDL.P.out	IDL.P					rs_number	reference_allele	other_allele			z			
